#################################################
##               rldock score v2               ##
#################################################
in_rec_path:      2CKY-A-1084-TPP/rec.mol2
in_ref_lig_path:  2CKY-A-1084-TPP/cpd_charge.mol2
in_poses_path:    2CKY-A-1084-TPP/pose/pose.mol2
in_info_path:     2CKY-A-1084-TPP/info.txt
in_score_mode:    binding_mode
debye length:     11
rec_file_name:      rec.mol2
ref_lig_file_name:  cpd_charge.mol2
poses_file_name:    pose.mol2
info_file_name:     info.txt
verbose:  0
#################################################
Load receptor: 2CKY_nuc from 2CKY-A-1084-TPP/rec.mol2
--> heavy atom num: 1652
Load reference ligand: TPP from 2CKY-A-1084-TPP/cpd_charge.mol2
--> heavy atom num: 26
#Scoring -----------------------------------------
#pose total dU(lj) dU(ele) dU(mutual_pol) dU(lig_self_pol) dU(sasa) dU(hbond) dU(rec_self_pol) dU(lig_lj) dU(lig_ele) rot_dof dU(stack)
rdock_06_138 -9.269 -2.679 150.074 -146.741 5.087 -3.679 -3.162 3.627 0.123 0.060 8.000 -1.560
rdock_06_139 -9.687 -2.643 146.699 -143.546 5.600 -3.881 -4.126 3.577 -0.006 0.210 8.000 -1.635
rdock_06_140 -7.525 -1.798 139.963 -137.655 5.216 -3.697 -4.152 3.516 0.025 0.293 8.000 -0.018
rdock_06_141 -8.966 -2.904 147.115 -145.526 6.272 -3.837 -5.541 4.182 0.075 0.573 8.000 -1.253
rdock_06_142 -6.523 -1.764 123.234 -122.350 3.445 -2.815 -3.164 3.404 0.110 1.550 8.000 -0.894
rdock_06_143 -8.091 -2.265 158.754 -152.954 6.664 -3.914 -6.648 3.645 -0.019 -0.644 8.000 -0.956
rdock_06_144 -9.696 -2.488 144.713 -142.547 4.908 -3.815 -4.820 3.661 0.090 1.020 8.000 -1.600
rdock_06_145 -9.027 -2.115 143.604 -139.921 4.701 -3.538 -5.868 3.201 0.112 -0.954 8.000 -1.233
rdock_06_146 -9.135 -2.674 140.376 -138.371 5.031 -3.409 -6.443 3.577 0.078 -0.499 8.000 -1.441
rdock_06_147 -11.256 -3.421 140.758 -137.707 4.484 -3.660 -6.008 4.099 0.158 0.106 8.000 -3.516
rdock_06_148 -9.316 -2.390 147.668 -144.831 4.623 -3.728 -3.778 3.656 0.032 0.973 8.000 -1.590
rdock_06_149 -7.407 -2.215 144.941 -141.569 6.311 -3.686 -3.091 3.588 -0.073 -1.016 8.000 -0.181
rdock_06_150 -8.052 -1.924 137.312 -134.211 3.851 -3.493 -4.222 3.379 0.082 0.418 8.000 -0.643
rdock_07_1 -8.934 -2.896 146.916 -145.720 5.902 -3.811 -4.547 4.290 0.138 0.744 8.000 -1.233
rdock_07_2 -7.250 -2.272 135.257 -132.854 7.195 -3.536 -7.413 3.255 0.034 0.819 8.000 -0.640
rdock_07_3 -9.896 -2.177 139.062 -137.650 4.643 -3.871 -4.371 3.248 0.035 1.185 8.000 -1.169
rdock_07_4 -8.439 -3.752 150.770 -152.132 9.891 -3.829 -7.573 4.470 0.040 1.437 8.000 -1.154
rdock_07_5 -9.814 -2.733 145.770 -142.339 6.278 -3.879 -4.415 3.511 -0.003 -2.393 8.000 -1.288
rdock_07_6 -8.205 -2.617 136.092 -134.053 6.498 -3.578 -6.756 3.588 0.113 0.058 8.000 -1.016
rdock_07_7 -7.901 -2.921 150.658 -148.591 7.609 -3.644 -5.125 4.079 -0.055 0.714 8.000 -1.369
rdock_07_8 -9.534 -2.645 144.735 -142.409 6.775 -3.894 -5.821 3.560 -0.088 -0.982 8.000 -1.248
rdock_07_9 -8.114 -2.501 134.282 -134.108 6.992 -3.878 -6.492 3.730 0.065 1.795 8.000 -0.398
rdock_07_10 -7.651 -2.725 134.446 -132.947 7.566 -3.815 -7.175 3.859 0.062 0.917 8.000 -0.536
rdock_07_11 -6.734 -2.010 143.650 -139.990 5.953 -3.182 -4.254 2.921 0.070 0.287 8.000 -0.602
rdock_07_12 -8.846 -2.203 139.942 -136.352 5.723 -3.671 -7.587 3.342 -0.007 -0.486 8.000 -1.340
rdock_07_13 -9.124 -2.329 140.473 -139.149 5.218 -3.573 -6.331 3.657 -0.060 -0.219 8.000 -1.230
rdock_07_14 -9.882 -2.280 139.830 -137.330 5.250 -3.812 -9.337 3.295 0.018 -0.730 8.000 -1.055
rdock_07_15 -7.651 -2.645 136.630 -135.360 6.924 -3.711 -6.926 3.886 0.062 0.413 8.000 -0.307
rdock_07_16 -8.681 -2.383 135.236 -132.493 5.912 -3.809 -4.241 3.244 -0.092 0.133 8.000 -0.737
rdock_07_17 -8.755 -2.237 144.709 -141.958 5.386 -3.483 -4.636 2.847 0.135 1.557 8.000 -1.404
rdock_07_18 -7.794 -2.586 143.311 -142.124 7.361 -3.825 -3.908 3.988 0.066 0.704 8.000 -0.685
rdock_07_19 -7.588 -3.166 145.082 -144.460 7.265 -3.411 -3.609 4.473 -0.017 0.177 8.000 -1.367
rdock_07_20 -9.925 -3.126 139.233 -138.530 6.655 -3.896 -7.834 4.258 -0.030 0.020 8.000 -1.791
rdock_07_21 -9.013 -2.016 139.497 -136.250 5.381 -3.901 -5.983 3.455 -0.146 -1.877 8.000 -0.443
rdock_07_22 -7.467 -2.639 157.462 -152.012 6.521 -3.645 -3.419 4.087 -0.008 -0.042 8.000 -1.583
rdock_07_23 -10.424 -2.640 136.031 -134.376 5.973 -4.138 -6.035 3.558 0.121 0.468 8.000 -1.540
rdock_07_24 -9.269 -2.487 132.679 -132.564 5.251 -3.702 -6.123 3.647 0.128 1.793 8.000 -1.293
rdock_07_25 -8.789 -2.108 144.939 -141.220 5.517 -3.865 -5.504 3.483 -0.042 -0.459 8.000 -0.891
rdock_07_26 -8.721 -2.269 137.375 -135.765 5.112 -3.526 -8.770 3.511 0.030 0.559 8.000 -0.983
rdock_07_27 -8.688 -3.124 144.449 -143.364 6.546 -3.620 -5.907 4.047 0.070 1.272 8.000 -1.451
rdock_07_28 -8.365 -2.577 143.738 -143.059 6.164 -3.536 -5.684 3.857 0.089 0.418 8.000 -0.976
rdock_07_29 -10.244 -2.932 140.499 -139.775 6.750 -4.021 -6.902 3.940 0.034 -0.115 8.000 -1.607
rdock_07_30 -8.620 -2.336 139.928 -137.561 5.447 -3.589 -6.053 3.522 0.004 0.081 8.000 -1.099
rdock_07_31 -8.290 -2.239 135.381 -133.515 5.531 -3.796 -5.101 3.656 -0.017 0.424 8.000 -0.468
rdock_07_32 -8.976 -2.461 139.302 -135.866 5.830 -3.712 -6.097 3.318 0.039 -0.554 8.000 -1.214
rdock_07_33 -8.670 -3.051 143.162 -141.622 6.353 -3.467 -4.844 3.853 -0.028 -0.426 8.000 -1.341
rdock_07_34 -7.778 -1.747 139.007 -136.778 5.770 -3.790 -3.624 3.394 -0.389 -0.109 8.000 -0.023
rdock_07_35 -8.533 -3.035 137.517 -136.666 6.596 -3.760 -6.765 4.103 0.101 1.473 8.000 -1.106
rdock_07_36 -8.722 -3.153 143.040 -141.357 5.806 -3.396 -6.601 3.939 0.058 -0.804 8.000 -1.151
rdock_07_37 -8.973 -2.776 144.187 -140.073 6.314 -3.681 -4.904 3.610 -0.033 -2.370 8.000 -1.315
rdock_07_38 -6.923 -2.322 160.679 -153.111 5.946 -3.579 -2.961 3.919 -0.056 -1.046 8.000 -1.354
rdock_07_39 -8.321 -2.767 149.759 -147.623 6.501 -3.843 -1.786 4.382 -0.049 0.135 8.000 -1.276
rdock_07_40 -7.563 -2.752 144.034 -140.667 7.256 -3.497 -6.802 3.684 -0.010 0.044 8.000 -1.229
rdock_07_41 -8.772 -2.547 135.785 -134.213 6.634 -3.946 -5.192 3.606 0.074 1.100 8.000 -0.954
rdock_07_42 -9.167 -2.876 147.450 -144.763 6.790 -3.933 -5.673 3.585 0.049 0.300 8.000 -1.039
rdock_07_43 -8.151 -3.193 141.428 -140.699 6.750 -3.431 -6.010 4.189 0.069 0.566 8.000 -1.363
rdock_07_44 -9.798 -2.606 148.430 -144.906 4.696 -3.824 -2.530 3.315 -0.026 0.479 8.000 -1.414
rdock_07_45 -8.726 -2.169 137.153 -134.786 6.507 -3.963 -5.977 3.191 -0.010 0.808 8.000 -0.675
rdock_07_46 -7.677 -2.718 135.690 -134.759 7.127 -3.639 -8.426 4.115 0.067 -0.297 8.000 -0.466
rdock_07_47 -8.850 -2.809 136.125 -134.087 6.266 -3.750 -7.127 3.739 0.091 1.341 8.000 -1.498
rdock_07_48 -9.490 -2.506 136.954 -136.533 4.835 -3.422 -5.819 3.370 0.060 1.285 8.000 -1.665
rdock_07_49 -10.628 -3.652 148.793 -145.331 5.863 -3.671 -4.971 4.200 0.041 0.071 8.000 -3.439
rdock_07_50 -9.561 -2.428 141.259 -138.159 6.251 -3.859 -6.427 3.275 -0.038 -1.625 8.000 -1.074
rdock_07_51 -7.343 -2.140 139.664 -137.360 6.364 -3.565 -7.033 3.197 0.105 1.911 8.000 -0.458
rdock_07_52 -9.907 -2.902 139.833 -137.282 6.076 -3.877 -6.542 3.494 0.047 -0.396 8.000 -1.396
rdock_07_53 -8.918 -2.568 142.541 -139.378 6.745 -3.917 -5.962 3.908 -0.034 -1.987 8.000 -1.041
rdock_07_54 -9.127 -2.566 145.490 -142.615 6.706 -3.944 -5.964 3.551 -0.069 -1.503 8.000 -0.649
rdock_07_55 -8.817 -2.769 148.248 -142.618 6.191 -3.695 -3.086 3.674 -0.201 -3.329 8.000 -1.398
rdock_07_56 -9.213 -2.227 148.953 -144.932 5.442 -3.894 -2.049 3.492 0.073 -0.831 8.000 -1.364
rdock_07_57 -9.590 -2.205 140.856 -138.354 4.698 -3.643 -6.432 3.106 0.001 0.599 8.000 -1.374
rdock_07_58 -9.678 -2.774 134.463 -133.293 6.737 -4.030 -7.590 3.897 0.089 1.637 8.000 -1.866
rdock_07_59 -8.497 -3.061 145.314 -144.290 6.419 -3.532 -6.778 4.255 0.001 0.475 8.000 -1.373
rdock_07_60 -9.405 -2.642 144.102 -141.750 5.844 -3.824 -4.729 3.535 0.069 0.274 8.000 -1.307
rdock_07_61 -7.640 -2.501 136.820 -135.488 6.735 -3.785 -6.222 3.917 0.050 0.785 8.000 -0.321
rdock_07_62 -8.989 -2.959 146.885 -145.655 6.610 -3.953 -3.094 3.846 0.094 1.194 8.000 -0.863
rdock_07_63 -9.553 -2.387 144.863 -141.438 6.163 -3.929 -5.236 3.483 -0.067 -1.781 8.000 -1.180
rdock_07_64 -10.269 -2.884 140.019 -138.294 5.722 -3.725 -6.087 3.551 -0.034 -0.247 8.000 -1.929
rdock_07_65 -9.329 -2.441 144.626 -141.972 5.679 -3.863 -6.568 3.163 0.081 0.441 8.000 -0.698
rdock_07_66 -9.177 -2.332 145.179 -142.843 5.031 -3.676 -5.590 3.418 0.048 1.377 8.000 -1.416
rdock_07_67 -9.046 -2.750 139.027 -137.140 5.427 -3.571 -8.447 3.972 0.035 0.077 8.000 -1.511
rdock_07_68 -10.181 -2.095 144.924 -142.073 4.584 -3.914 -5.483 3.072 0.019 0.962 8.000 -1.436
rdock_07_69 -10.328 -3.041 135.888 -135.478 6.976 -3.936 -7.592 3.797 -0.032 0.578 8.000 -1.968
rdock_07_70 -8.857 -2.405 139.749 -136.439 6.188 -3.787 -4.872 3.856 -0.351 -2.652 8.000 -1.067
rdock_07_71 -8.694 -2.221 142.855 -140.986 6.156 -3.679 -5.814 3.282 0.045 0.628 8.000 -1.026
rdock_07_72 -10.162 -2.570 136.045 -135.188 5.429 -3.877 -9.653 3.585 0.001 1.058 8.000 -1.386
rdock_07_73 -9.234 -2.696 141.054 -140.256 5.850 -3.635 -6.539 3.821 0.073 -0.170 8.000 -1.209
rdock_07_74 -8.364 -2.138 136.085 -134.272 6.468 -3.889 -6.258 3.244 0.040 1.560 8.000 -0.597
rdock_07_75 -9.406 -2.754 145.342 -142.146 6.018 -3.705 -5.920 3.318 0.083 -0.675 8.000 -1.299
rdock_07_76 -9.686 -2.941 138.947 -136.536 5.613 -3.532 -7.283 3.766 -0.059 -1.672 8.000 -1.766
rdock_07_77 -9.212 -2.878 136.306 -135.736 7.048 -3.808 -8.156 3.743 0.102 1.765 8.000 -1.599
rdock_07_78 -8.750 -2.552 143.542 -140.224 5.798 -3.429 -5.569 3.451 -0.023 -1.266 8.000 -1.557
rdock_07_79 -9.210 -1.959 137.234 -133.861 5.039 -3.909 -6.412 3.143 -0.016 -1.185 8.000 -0.423
rdock_07_80 -7.908 -2.493 136.343 -135.206 6.877 -3.888 -5.767 3.855 0.125 1.122 8.000 -0.421
rdock_07_81 -8.212 -2.187 132.820 -130.628 6.237 -3.821 -4.716 3.386 -0.028 -1.264 8.000 -0.078
rdock_07_82 -10.222 -2.344 144.586 -139.802 5.158 -3.889 -6.149 3.059 -0.109 -2.728 8.000 -1.154
rdock_07_83 -9.228 -2.612 144.960 -142.934 6.184 -3.848 -4.961 3.615 0.066 0.820 8.000 -1.355
rdock_07_84 -9.769 -3.288 143.475 -142.999 7.289 -3.961 -4.586 4.390 0.050 0.535 8.000 -2.035
rdock_07_85 -8.275 -1.689 137.942 -136.250 4.667 -3.627 -4.667 3.153 0.067 1.098 8.000 -0.468
rdock_07_86 -10.035 -2.284 148.936 -145.647 4.970 -4.088 -3.427 3.186 -0.004 0.743 8.000 -1.054
rdock_07_87 -9.291 -2.553 143.090 -139.454 6.175 -3.580 -7.095 3.265 -0.070 -2.104 8.000 -1.418
rdock_07_88 -5.256 -1.642 143.322 -140.032 6.484 -3.060 -6.269 3.106 0.034 0.817 8.000 0.003
rdock_07_89 -10.021 -3.069 134.140 -132.548 5.921 -3.964 -5.465 4.049 0.070 0.085 8.000 -1.775
rdock_07_90 -9.055 -2.870 152.451 -148.493 5.948 -3.782 -5.262 3.749 0.018 -0.501 8.000 -1.268
rdock_07_91 -7.722 -2.827 147.364 -146.236 6.206 -3.422 -4.243 4.083 0.052 1.223 8.000 -1.116
rdock_07_92 -9.502 -2.858 133.770 -132.951 6.980 -3.983 -10.250 3.885 0.130 1.179 8.000 -1.373
rdock_07_93 -9.635 -3.000 146.460 -141.875 6.262 -3.770 -7.452 3.568 -0.049 -1.667 8.000 -1.666
rdock_07_94 -5.604 -1.979 143.066 -140.690 6.081 -3.149 -5.314 3.675 0.095 0.624 8.000 -0.002
rdock_07_95 -6.577 -2.162 135.756 -133.587 6.858 -3.448 -7.748 3.171 0.162 2.029 8.000 -0.204
rdock_07_96 -8.684 -2.655 137.182 -135.436 6.752 -3.883 -7.666 3.662 -0.011 1.581 8.000 -1.056
rdock_07_97 -9.139 -2.943 144.494 -143.479 7.081 -3.865 -4.975 3.828 0.003 0.741 8.000 -1.251
rdock_07_98 -9.097 -2.771 146.308 -144.802 6.876 -3.834 -4.787 3.529 0.081 1.157 8.000 -1.260
rdock_07_99 -9.151 -2.940 136.612 -135.418 6.843 -3.934 -5.866 4.239 0.014 1.764 8.000 -2.018
rdock_07_100 -5.587 -2.207 150.199 -148.073 6.224 -3.105 -3.011 3.682 0.124 1.519 8.000 -0.184
rdock_07_101 -9.688 -2.024 143.128 -139.338 5.090 -3.871 -4.878 2.885 0.063 0.000 8.000 -1.278
rdock_07_102 -9.648 -2.386 140.436 -138.116 5.538 -3.873 -5.439 3.425 0.028 -0.392 8.000 -1.160
rdock_07_103 -7.249 -1.657 139.085 -135.125 5.821 -3.553 -6.315 3.402 -0.173 -2.647 8.000 0.000
rdock_07_104 -8.958 -2.427 143.459 -140.642 6.236 -3.833 -4.527 3.399 -0.077 -0.926 8.000 -0.790
rdock_07_105 -9.275 -3.005 146.907 -144.756 6.653 -3.799 -5.697 3.705 0.081 0.338 8.000 -1.373
rdock_07_106 -8.495 -2.576 134.479 -132.768 6.522 -3.715 -6.296 3.514 0.169 1.375 8.000 -1.269
rdock_07_107 -9.702 -2.418 138.088 -136.300 5.234 -3.557 -7.020 3.224 0.023 -0.595 8.000 -1.414
rdock_07_108 -9.624 -2.257 146.312 -143.261 5.109 -3.807 -4.727 3.083 0.088 1.000 8.000 -1.415
rdock_07_109 -11.221 -4.018 146.338 -143.567 6.041 -3.759 -5.964 4.576 0.045 -0.148 8.000 -3.764
rdock_07_110 -8.952 -2.078 146.562 -142.292 6.162 -3.758 -5.314 3.068 -0.144 -1.723 8.000 -1.031
rdock_07_111 -8.837 -2.411 137.451 -135.545 6.964 -3.960 -6.898 3.343 -0.075 0.584 8.000 -0.698
rdock_07_112 -5.731 -2.185 157.554 -153.098 8.443 -3.733 -5.489 4.104 -0.259 -0.362 8.000 -0.058
rdock_07_113 -7.328 -2.067 138.714 -137.802 5.054 -3.175 -7.927 3.193 0.139 1.784 8.000 -0.344
rdock_07_114 -8.821 -2.856 144.827 -143.562 6.701 -3.912 -5.859 3.887 -0.005 0.679 8.000 -0.653
rdock_07_115 -8.263 -2.265 149.618 -145.854 6.435 -3.833 -3.331 3.211 0.074 0.767 8.000 -0.879
rdock_07_116 -7.126 -2.276 136.588 -134.951 5.965 -3.559 -5.956 3.780 0.053 1.050 8.000 -0.249
rdock_07_117 -9.244 -2.851 145.865 -144.268 6.677 -3.837 -5.294 3.715 0.080 0.653 8.000 -1.329
rdock_07_118 -7.944 -2.721 148.714 -146.414 7.117 -3.890 -3.903 3.800 0.030 1.239 8.000 -0.594
rdock_07_119 -8.464 -2.046 143.991 -140.089 6.037 -3.687 -6.100 3.342 -0.062 -2.531 8.000 -0.621
rdock_07_120 -8.108 -2.600 133.816 -133.276 7.120 -3.810 -8.311 3.703 0.178 1.776 8.000 -0.591
rdock_07_121 -9.225 -2.559 148.437 -144.769 4.875 -3.712 -4.924 3.288 -0.074 -0.131 8.000 -0.852
rdock_07_122 -9.806 -2.882 138.965 -137.776 6.591 -3.986 -6.705 4.099 0.000 -0.885 8.000 -1.351
rdock_07_123 -7.127 -2.090 158.261 -154.333 7.258 -3.809 -8.900 3.730 0.123 1.426 8.000 -0.551
rdock_07_124 -10.097 -2.534 136.751 -134.609 6.361 -4.056 -5.696 3.477 0.025 -0.405 8.000 -1.529
rdock_07_125 -7.571 -2.352 145.018 -141.933 5.558 -3.525 -3.635 3.826 0.043 -0.184 8.000 -0.781
rdock_07_126 -8.421 -2.444 143.086 -142.392 5.735 -3.473 -6.620 3.638 0.168 1.638 8.000 -1.191
rdock_07_127 -8.944 -2.498 147.311 -144.808 6.779 -3.885 -3.034 3.315 -0.126 0.533 8.000 -1.088
rdock_07_128 -8.727 -2.957 149.783 -146.587 7.441 -3.910 -3.203 4.127 -0.029 -0.960 8.000 -1.541
rdock_07_129 -8.779 -3.060 143.669 -142.526 6.682 -3.638 -4.728 3.834 -0.039 0.550 8.000 -1.232
rdock_07_130 -10.177 -2.729 136.095 -134.473 5.827 -4.059 -3.380 3.665 0.027 1.002 8.000 -1.821
rdock_07_131 -7.135 -2.822 149.227 -145.621 6.765 -3.483 -3.219 3.877 0.049 0.592 8.000 -1.105
rdock_07_132 -9.522 -2.354 144.914 -142.280 5.359 -3.844 -2.855 3.108 -0.027 1.761 8.000 -1.497
rdock_07_133 -9.092 -2.490 146.036 -143.141 6.747 -3.974 -4.163 3.614 -0.129 0.335 8.000 -1.411
rdock_07_134 -6.591 -2.667 159.538 -154.431 6.240 -3.486 -4.456 3.982 -0.008 0.908 8.000 -0.736
rdock_07_135 -6.929 -2.270 138.755 -136.443 6.793 -3.209 -7.582 3.506 -0.242 -1.862 8.000 -0.314
rdock_07_136 -7.399 -2.804 151.933 -148.471 6.894 -3.646 -3.331 4.241 0.036 -0.023 8.000 -1.138
rdock_07_137 -7.743 -2.201 135.119 -134.335 6.433 -3.676 -6.262 3.527 0.051 0.947 8.000 -0.251
rdock_07_138 -9.283 -2.242 140.017 -136.589 5.390 -3.927 -4.456 3.580 -0.020 -1.714 8.000 -0.913
rdock_07_139 -9.142 -3.246 145.490 -143.144 7.482 -3.877 -5.905 4.009 -0.041 -1.397 8.000 -1.137
rdock_07_140 -9.487 -2.752 146.481 -144.202 6.232 -3.778 -6.115 3.421 -0.024 0.683 8.000 -1.419
rdock_07_141 -8.210 -2.457 136.225 -134.343 6.264 -3.973 -4.903 3.861 0.041 2.116 8.000 -0.867
rdock_07_142 -9.923 -3.049 135.487 -134.881 6.755 -3.819 -6.291 3.865 0.060 0.105 8.000 -1.880
rdock_07_143 -8.325 -2.564 141.152 -139.062 5.852 -3.342 -6.786 3.731 -0.120 -1.296 8.000 -1.153
rdock_07_144 -9.248 -2.402 141.358 -137.669 6.920 -4.007 -3.918 3.358 -0.136 -1.544 8.000 -1.194
rdock_07_145 -5.781 -2.126 147.818 -145.182 5.576 -3.050 -4.217 3.687 0.139 0.942 8.000 -0.292
rdock_07_146 -8.747 -2.614 135.982 -134.189 6.825 -3.835 -9.148 3.570 0.074 0.502 8.000 -0.849
rdock_07_147 -7.589 -3.721 149.505 -150.771 10.251 -3.871 -7.025 4.786 0.077 1.174 8.000 -0.712
rdock_07_148 -10.201 -2.507 149.453 -145.033 5.636 -4.043 -5.853 3.299 -0.080 -0.842 8.000 -1.441
rdock_07_149 -7.927 -2.401 153.270 -148.024 5.315 -3.558 -3.065 3.772 0.057 -0.741 8.000 -1.362
rdock_07_150 -8.794 -2.653 143.500 -139.841 6.884 -3.586 -5.218 3.363 -0.154 -2.158 8.000 -1.369
rdock_08_1 -9.581 -2.566 141.147 -137.786 6.736 -3.971 -5.333 3.592 -0.122 -1.460 8.000 -1.550
rdock_08_2 -9.045 -2.521 140.115 -137.510 5.763 -3.753 -4.410 3.490 -0.115 -0.818 8.000 -0.945
rdock_08_3 -7.951 -2.867 143.415 -141.214 7.392 -3.970 -3.773 4.064 0.032 0.027 8.000 -0.452
rdock_08_4 -5.786 -2.073 161.256 -154.316 7.558 -3.690 -5.954 3.686 0.021 -0.711 8.000 -0.121
rdock_08_5 -6.642 -3.904 149.752 -150.045 11.168 -3.776 -7.592 4.905 0.056 -0.180 8.000 -0.308
rdock_08_6 -9.245 -2.242 139.644 -137.295 5.843 -3.961 -4.308 3.264 -0.143 -0.141 8.000 -0.654
rdock_08_7 -9.182 -1.985 147.041 -142.880 4.934 -3.732 -5.049 3.065 -0.032 -0.197 8.000 -1.242
rdock_08_8 -9.415 -2.313 139.230 -136.077 5.306 -3.755 -5.340 3.498 -0.033 -1.293 8.000 -1.366
rdock_08_9 -7.882 -2.637 142.443 -139.711 6.480 -3.519 -6.008 3.538 0.015 0.908 8.000 -1.137
rdock_08_10 -8.578 -2.653 142.482 -140.402 6.236 -3.688 -4.742 3.954 -0.069 -1.193 8.000 -0.958
rdock_08_11 -7.596 -2.319 141.040 -139.893 4.969 -3.373 -4.724 3.442 0.092 1.907 8.000 -0.393
rdock_08_12 -8.846 -2.506 142.126 -139.043 5.836 -3.750 -5.697 3.637 0.030 -0.701 8.000 -1.086
rdock_08_13 -7.567 -4.063 150.766 -151.688 10.772 -3.769 -10.849 4.963 0.041 0.883 8.000 -0.921
rdock_08_14 -9.526 -3.050 146.235 -143.277 6.920 -3.855 -6.094 3.637 0.006 -1.195 8.000 -1.316
rdock_08_15 -8.952 -2.459 148.221 -145.132 6.740 -4.022 -3.835 3.588 -0.098 -0.505 8.000 -0.860
rdock_08_16 -8.182 -2.833 137.643 -135.290 7.197 -3.796 -5.977 3.904 0.071 0.755 8.000 -1.282
rdock_08_17 -7.624 -2.387 141.441 -138.490 6.423 -3.552 -5.347 3.510 0.120 0.132 8.000 -0.837
rdock_08_18 -9.342 -2.478 142.687 -138.651 6.328 -3.665 -5.655 3.654 -0.454 -3.726 8.000 -1.552
rdock_08_19 -8.589 -2.074 139.148 -137.505 4.892 -3.476 -6.955 3.430 -0.023 0.877 8.000 -1.131
rdock_08_20 -8.797 -2.306 147.941 -142.955 5.698 -3.780 -5.670 3.876 -0.305 -3.617 8.000 -0.941
rdock_08_21 -9.088 -2.375 142.942 -139.932 6.085 -3.874 -4.217 3.467 -0.023 -2.065 8.000 -0.629
rdock_08_22 -9.453 -2.554 144.784 -142.638 5.703 -3.774 -6.269 3.304 0.095 1.166 8.000 -1.282
rdock_08_23 -9.495 -3.191 133.565 -133.784 7.005 -3.942 -8.119 4.146 0.168 2.058 8.000 -1.597
rdock_08_24 -8.745 -2.446 142.581 -139.428 6.545 -3.701 -5.301 3.590 -0.125 -2.398 8.000 -0.989
rdock_08_25 -9.653 -2.643 137.056 -136.393 6.395 -3.912 -5.456 3.566 0.023 1.695 8.000 -1.586
rdock_08_26 -7.770 -2.493 150.013 -147.444 6.881 -3.678 -4.111 4.000 0.055 0.020 8.000 -1.088
rdock_08_27 -9.598 -2.485 136.275 -135.557 5.286 -3.770 -6.425 3.393 -0.019 0.920 8.000 -0.940
rdock_08_28 -9.246 -2.700 136.833 -135.419 6.958 -3.910 -8.401 3.489 0.102 1.296 8.000 -1.241
rdock_08_29 -9.396 -3.095 145.536 -143.981 7.389 -3.843 -7.064 3.717 0.020 0.093 8.000 -1.329
rdock_08_30 -8.642 -2.360 134.045 -131.817 5.535 -3.812 -4.932 3.394 -0.020 1.429 8.000 -0.893
rdock_08_31 -8.253 -3.111 142.285 -141.032 6.450 -3.354 -6.169 3.997 -0.033 -0.462 8.000 -1.188
rdock_08_32 -8.664 -2.395 135.921 -133.004 6.391 -3.785 -8.520 3.367 0.077 -0.195 8.000 -0.877
rdock_08_33 -5.739 -4.174 149.956 -151.958 11.053 -3.324 -7.839 4.996 0.101 0.858 8.000 -0.101
rdock_08_34 -8.363 -2.836 138.626 -136.649 6.418 -3.895 -6.574 4.230 0.097 1.101 8.000 -1.051
rdock_08_35 -9.915 -2.407 135.695 -134.894 4.947 -3.900 -7.615 3.574 0.045 1.508 8.000 -1.186
rdock_08_36 -9.763 -2.863 140.067 -138.199 6.480 -3.995 -6.552 4.055 -0.026 -0.748 8.000 -1.462
rdock_08_37 -10.534 -3.286 138.241 -137.324 6.586 -3.861 -4.579 3.941 0.019 0.079 8.000 -2.424
rdock_08_38 -7.845 -3.083 143.445 -142.841 7.207 -3.403 -7.215 4.296 0.026 0.095 8.000 -1.237
rdock_08_39 -7.606 -1.671 133.934 -132.707 4.674 -3.287 -6.981 2.968 0.113 1.361 8.000 -0.362
rdock_08_40 -7.682 -2.146 137.577 -135.189 6.399 -3.846 -5.074 3.505 0.051 0.757 8.000 -0.255
rdock_08_41 -9.223 -2.861 147.004 -144.506 6.945 -3.808 -4.212 3.600 -0.027 -0.167 8.000 -1.517
rdock_08_42 -8.820 -2.081 146.585 -142.016 4.998 -3.815 -4.758 3.682 -0.197 -2.115 8.000 -0.857
rdock_08_43 -8.225 -2.805 141.601 -140.133 5.707 -3.419 -5.452 3.700 0.020 0.877 8.000 -1.014
rdock_08_44 -8.664 -2.772 141.520 -138.796 7.179 -3.943 -3.536 4.059 -0.063 -1.894 8.000 -0.985
rdock_08_45 -9.207 -2.286 136.474 -135.050 6.816 -4.163 -5.350 3.574 0.034 1.022 8.000 -0.965
rdock_08_46 -8.535 -2.827 134.782 -133.868 6.927 -3.781 -8.739 3.977 0.028 1.131 8.000 -1.077
rdock_08_47 -9.531 -2.448 145.342 -142.698 5.719 -3.825 -5.650 3.190 0.080 0.755 8.000 -1.270
rdock_08_48 -8.427 -2.535 134.708 -132.092 6.579 -3.753 -6.279 3.444 0.065 0.080 8.000 -0.955
rdock_08_49 -8.850 -2.370 134.226 -132.841 5.971 -3.820 -6.755 3.672 0.065 1.405 8.000 -1.262
rdock_08_50 -9.481 -2.491 140.456 -138.544 6.056 -3.982 -4.339 3.601 -0.002 0.453 8.000 -1.243
rdock_08_51 -8.583 -2.504 144.634 -141.849 6.633 -3.621 -6.997 3.757 -0.185 -1.673 8.000 -1.146
rdock_08_52 -6.101 -2.736 134.905 -134.253 7.253 -3.438 -5.288 4.239 0.029 1.527 8.000 -0.198
