#################################################
##               rldock score v2               ##
#################################################
in_rec_path:      2CKY-A-1084-TPP/rec.mol2
in_ref_lig_path:  2CKY-A-1084-TPP/cpd_charge.mol2
in_poses_path:    2CKY-A-1084-TPP/pose/pose.mol2
in_info_path:     2CKY-A-1084-TPP/info.txt
in_score_mode:    binding_mode
debye length:     11
rec_file_name:      rec.mol2
ref_lig_file_name:  cpd_charge.mol2
poses_file_name:    pose.mol2
info_file_name:     info.txt
verbose:  0
#################################################
Load receptor: 2CKY_nuc from 2CKY-A-1084-TPP/rec.mol2
--> heavy atom num: 1652
Load reference ligand: TPP from 2CKY-A-1084-TPP/cpd_charge.mol2
--> heavy atom num: 26
#Scoring -----------------------------------------
#pose total dU(lj) dU(ele) dU(mutual_pol) dU(lig_self_pol) dU(sasa) dU(hbond) dU(rec_self_pol) dU(lig_lj) dU(lig_ele) rot_dof dU(stack)
rdock_02_43 -11.354 -3.675 143.353 -142.582 5.749 -3.780 -6.698 4.299 0.060 1.294 8.000 -3.318
rdock_02_44 -9.027 -2.377 143.119 -138.741 5.557 -3.982 -5.842 3.743 -0.036 -1.273 8.000 -0.945
rdock_02_45 -9.689 -1.925 140.545 -136.801 4.915 -4.279 -2.743 3.340 0.043 -0.756 8.000 -0.550
rdock_02_46 -10.311 -2.847 140.203 -138.907 5.429 -3.889 -6.144 3.871 0.047 0.559 8.000 -1.848
rdock_02_47 -9.350 -2.290 137.477 -135.772 4.811 -3.994 -5.957 3.695 0.058 0.901 8.000 -0.661
rdock_02_48 -11.824 -3.463 141.828 -140.514 5.300 -3.755 -8.512 3.886 0.066 1.006 8.000 -3.368
rdock_02_49 -8.586 -1.842 141.791 -138.098 5.140 -3.909 -4.654 3.336 -0.093 -0.892 8.000 -0.331
rdock_02_50 -9.941 -2.419 136.409 -134.374 5.241 -3.862 -7.699 3.500 0.011 -0.699 8.000 -1.151
rdock_02_51 -9.558 -2.404 140.280 -137.369 5.412 -4.187 -5.075 3.838 0.120 0.026 8.000 -0.949
rdock_02_52 -11.639 -3.498 143.185 -140.810 5.262 -3.695 -7.636 3.896 0.086 0.085 8.000 -3.468
rdock_02_53 -9.382 -2.230 149.471 -144.961 5.388 -3.817 -4.111 3.236 -0.233 -1.224 8.000 -1.236
rdock_02_54 -10.797 -3.259 140.551 -139.264 5.787 -3.761 -6.939 3.975 0.140 0.735 8.000 -2.805
rdock_02_55 -10.992 -3.908 143.958 -143.422 6.476 -3.865 -6.268 4.661 0.144 1.647 8.000 -3.365
rdock_02_56 -11.861 -3.547 143.301 -141.518 5.264 -3.820 -6.440 4.074 0.005 0.523 8.000 -3.499
rdock_02_57 -11.672 -3.700 143.346 -142.075 5.803 -3.794 -6.911 4.210 0.117 0.335 8.000 -3.431
rdock_02_58 -10.389 -2.913 137.892 -136.910 5.361 -3.795 -8.489 3.912 0.085 0.344 8.000 -1.884
rdock_02_59 -9.661 -2.500 139.604 -136.823 5.677 -3.926 -6.700 3.597 0.081 0.160 8.000 -1.518
rdock_02_60 -9.961 -1.911 142.118 -138.259 4.525 -4.185 -5.060 3.343 0.075 -1.040 8.000 -0.695
rdock_02_61 -12.083 -3.428 141.943 -139.910 5.040 -3.846 -7.072 3.851 0.093 0.424 8.000 -3.442
rdock_02_62 -11.221 -3.354 147.017 -142.914 5.124 -3.687 -7.210 3.877 -0.023 -0.882 8.000 -3.311
rdock_02_63 -10.347 -3.194 141.641 -140.993 5.581 -3.664 -7.465 4.050 0.038 0.435 8.000 -2.158
rdock_02_64 -9.741 -2.215 137.586 -135.794 4.926 -3.992 -7.553 3.605 0.116 0.351 8.000 -0.895
rdock_02_65 -9.525 -2.241 137.813 -134.489 5.126 -3.951 -5.611 3.290 0.012 -0.674 8.000 -0.850
rdock_02_66 -11.263 -2.853 135.488 -134.562 4.826 -3.824 -5.127 3.737 0.097 0.559 8.000 -2.734
rdock_02_67 -11.367 -2.793 142.441 -139.771 4.880 -3.826 -5.639 3.670 0.094 -0.856 8.000 -2.869
rdock_02_68 -12.029 -3.542 143.808 -141.240 4.577 -3.788 -5.741 3.936 0.118 0.647 8.000 -3.652
rdock_02_69 -10.029 -2.754 135.008 -133.966 5.598 -3.991 -9.012 3.814 0.113 1.226 8.000 -1.334
rdock_02_70 -10.766 -2.947 145.032 -141.407 5.645 -3.893 -5.668 3.969 -0.025 -2.036 8.000 -2.535
rdock_02_71 -11.657 -3.430 141.630 -140.838 5.395 -3.893 -7.539 4.023 0.126 1.888 8.000 -3.169
rdock_02_72 -9.445 -2.503 137.120 -135.295 5.811 -3.966 -8.518 3.741 -0.097 0.053 8.000 -0.844
rdock_02_73 -7.794 -2.430 156.422 -153.146 7.708 -3.862 -7.147 3.776 -0.088 0.403 8.000 -0.714
rdock_02_74 -8.711 -1.899 160.616 -154.398 5.210 -4.187 -2.114 3.461 0.009 0.604 8.000 -0.969
rdock_02_75 -11.803 -3.345 141.854 -140.445 5.410 -3.836 -7.574 3.863 0.159 1.145 8.000 -3.412
rdock_02_76 -9.382 -2.713 137.781 -135.602 6.306 -4.009 -5.818 3.782 0.046 0.944 8.000 -1.452
rdock_02_77 -9.479 -2.806 142.687 -139.774 5.970 -3.952 -6.219 3.956 0.020 -0.578 8.000 -1.327
rdock_02_78 -9.681 -2.693 138.549 -136.936 5.235 -3.769 -5.106 3.655 0.107 0.742 8.000 -1.556
rdock_02_79 -11.926 -3.677 143.162 -140.913 5.032 -3.678 -6.617 3.997 0.095 0.128 8.000 -3.745
rdock_02_80 -9.587 -1.874 141.614 -136.437 5.613 -3.964 -5.650 3.037 -0.169 -4.040 8.000 -0.682
rdock_02_81 -10.049 -3.215 143.295 -140.976 5.401 -3.877 -5.343 4.275 0.105 0.791 8.000 -2.237
rdock_02_82 -7.572 -2.455 161.133 -155.088 7.285 -3.997 -6.755 4.033 -0.018 -0.481 8.000 -0.853
